products/page/artif-flavors.svg,No Artificial Flavors,"No Additives. No Compromises."
products/page/inside.png,On the Inside,"Arranged to create a stunning presentation, to ensure that receiving a gift from Guadalupe is as memorable as the first bite."
products/page/variety.png,Sweet Variety,"Also comes in Dark, Extra Dark and Milk Chocolate."
products/page/gift.svg,The Perfect Gift,"Share the unique flavor from the heart of Cebu."
products/page/mini.png,Available in Small,"Our sampler box features all the flavors from our chocolate coated strips line"
