products/page/slice-variety.png,Sweet Variety,"Also comes in Dark, Extra Dark and White Chocolate."
products/page/pack 2.png,Individually Packed,"Thoughtfully packed for freshness and giving."
products/page/artif-flavors.svg,no artificial Flavors,"No Additives. No Compromises."
products/page/gift.svg,The Perfect Gift,"Share the unique flavor from the heart of Cebu."
products/page/no-artificial-colors.svg,No Artificial Colours,"just the natural vibrancy of the Philippine mango"
